Issue_ID,Date,Role_Type,Location_Block,Location_Room,Equipment,User_Complaint_Text,Actual_Diagnosed_Problem,Fix_Action_Taken,Time_Taken_Hours,Cost_INR,Parts_Replaced,Urgency_Level,Status
LPU-MAINT-2022-0001,2022-01-18,Student,BH-5,B-215,Geyser (Racold 25L),Geyser water is only slightly warm even after keeping switch on for 45 minutes,Heating element heavily encrusted with hard water calcium carbonate scaling (3mm thick),"Descaled geyser tank, replaced 2kW copper heating element and magnesium sacrificial anode",3.0,1850,2kW Heating Element & Magnesium Anode,High,Resolved
LPU-MAINT-2022-0002,2022-02-14,Warden,Uni-Hospital,Power House-1,Generator (Kirloskar 125kVA),"Hospital DG set failed to auto-start during morning grid power cut, emergency ward on battery backup",Automatic Main Failure (AMF) controller relay contactor welded open; weak 12V 180Ah starting battery bank,"Replaced AMF start control relay, replaced defective lead-acid starter battery, and verified auto-transfer in 6 seconds",5.0,24500,AMF Relay & Exide 180Ah DG Battery,Critical,Resolved
LPU-MAINT-2022-0003,2022-02-18,Warden,BH-5,Main Gate Entry,Biometric Scanner (Mantra MFS100),"Hostel attendance biometric scanner not detecting student fingerprints, red error LED",Optical prism glass surface heavily scratched and coated with greasy film,"Cleaned optical prism with optical solvent, recalibrated sensor sensitivity, replaced USB cable",1.0,450,MFS100 USB Data Cable,High,Resolved
LPU-MAINT-2022-0004,2022-02-20,Faculty,Block-33,Room-33-101,"Smartboard (Promethean ActivPanel 75"")",Smartboard backlight flickering on and off rapidly during database lecture,Constant-current LED backlight driver inverter board output capacitor cracked,Replaced LED backlight driver PCB board and verified uniform 400 nit luminance,3.0,6800,LED Backlight Driver Board,High,Resolved
LPU-MAINT-2022-0005,2022-03-08,Student,BH-5,Lift-1 (East Wing),KONE Elevator (Model MonoSpace 500),"Lift-1 jerky while stopping at 4th floor, feels like it drops slightly","Traction motor drive brake shoe clearance uneven, causing abrupt mechanical engagement","Adjusted disc brake shoe air gap to 0.4mm, cleaned brake plunger solenoid, load tested car",4.0,6500,Brake Solenoid Spring Kit,High,Resolved
LPU-MAINT-2022-0006,2022-03-14,Faculty,Block-32,Room-32-201,Projector (Epson EB-X51),Projector lamp turned off suddenly during Operating Systems lecture and orange lamp light is blinking,High-pressure Mercury UHP lamp reached end-of-life (3180 hours) and suffered filament rupture,"Replaced projector lamp module (ELPLP97), dusted optical light path, and reset lamp operating timer",1.5,5800,Epson ELPLP97 Lamp Assembly,High,Resolved
LPU-MAINT-2022-0007,2022-03-18,Faculty,Block-38,Room-38-102,"Smartboard (Promethean ActivPanel 75"")",Smartboard displaying horizontal colored lines and screen flickering continuously,LVDS flat flexible display ribbon cable connecting main scalar board to 4K LCD panel loose,"Re-seated and locked LVDS ribbon cable with Kapton tape, cleaned gold contact fingers",2.0,1400,Kapton Tape & Contact Cleaner,High,Resolved
LPU-MAINT-2022-0008,2022-03-19,Student,GH-1,Lift-1 (Main Lobby),KONE Elevator (Model MonoSpace 500),Lift car fan not working and emergency alarm button is loose inside panel,12V cross-flow car blower seized due to dust; COP alarm microswitch retaining ring broken,Replaced 12V ventilation blower fan and installed new snap-in alarm push button,2.5,3600,12V Blower Fan & Alarm Switch,High,Resolved
LPU-MAINT-2022-0009,2022-03-22,Warden,BH-5,Mess-1,RO Water Purifier (Kent Grand),"Mess water purifier flow is extremely slow, takes 15 mins to fill one water jug",Sediment filter and activated carbon filter blocked by high silt content (TDS 680 ppm),Replaced spun polypropylene sediment filter and granulated activated carbon block,2.0,1250,Sediment Filter & Carbon Filter,Medium,Resolved
LPU-MAINT-2022-0010,2022-03-25,Faculty,Block-25,Room-25-102,"Smartboard (Promethean ActivPanel 75"")",Smartboard touch response is lagging severely and phantom touches appearing in top corner,Infrared optical touch frame bezel misaligned and coated with fine chalk and dust film,"Cleaned infrared bezel glass with optical solvent, recalibrated 20-point touch matrix",2.0,3200,None,High,Resolved
LPU-MAINT-2022-0011,2022-03-30,Student,BH-4,Mess Ground Floor,Water Cooler (Voltas Minimagic),Water cooler water is not cold and compressor area is very hot,Condenser coil covered in thick blanket of kitchen greasy dust from mess exhaust,"Degreased and pressure-washed condenser coils, checked compressor amperage",2.0,1100,Degreaser Chemical,High,Resolved
LPU-MAINT-2022-0012,2022-04-02,Faculty,Block-34,Room-34-201,"Smartboard (Promethean ActivPanel 75"")","Smartboard touch completely unresponsive, stylus and finger not working",Optical touch controller USB interface chip (CY7C68013A) burned out from USB voltage surge,Replaced optical touch controller PCB board and updated firmware to version 4.2,2.5,6800,Promethean Touch Controller Board,High,Resolved
LPU-MAINT-2022-0013,2022-04-05,Student,GH-2,Lift-1 (Main Wing),KONE Elevator (Model MonoSpace 500),"Lift doors keep opening and closing continuously on ground floor, not going up",Infrared light curtain receiver diode array misaligned; accumulated dust in bottom door sill tracks,"Cleaned bottom sill guide grooves, realigned optical curtain transmitter/receiver columns, and recalibrated door controller",3.5,5400,KONE Optical Curtain Sensor Strip,High,Resolved
LPU-MAINT-2022-0014,2022-04-10,Faculty,Block-26,Room-26-201,"Smartboard (Promethean ActivPanel 75"")",Smartboard pen drawing broken lines across center of screen during math lecture,Electromagnetic digitizer grid trace broken along vertical axis 4,Replaced internal digitizer sensor controller harness and recalibrated stylus,2.5,5200,Digitizer Sensor Ribbon Cable,Medium,Resolved
LPU-MAINT-2022-0015,2022-04-12,Student,BH-1,Ground Floor Mess,Water Cooler (Voltas Minimagic),"Water cooler giving lukewarm water in hot afternoon, compressor humming but fan off",Condenser fan blade jammed by a dry wooden stick fallen behind protective grill,"Removed foreign object, inspected fan motor windings, straightened bent blade",1.0,500,None,Medium,Resolved
LPU-MAINT-2022-0016,2022-04-15,Student,BH-4,A-108,Split AC (Voltas 1.5T),AC is not turning on with remote or manual power button on indoor unit,Blown 3.15A glass fuse and blown varistor on indoor power supply PCB from grid spike,"Replaced PCB glass fuse and metal oxide varistor (MOV), tested operation",1.5,950,Glass Fuse & MOV Surge Suppressor,High,Resolved
LPU-MAINT-2022-0017,2022-04-16,Student,GH-3,Mess Dining Hall,Water Cooler (Voltas Minimagic),"Water cooler not chilling water during lunch hours, compressor is silent",Overload protector switch contacts oxidized from repeated cycling,Replaced compressor thermal overload protector and cleaned electrical contacts,1.5,1150,Compressor Overload Protector (OLP),High,Resolved
LPU-MAINT-2022-0018,2022-04-18,Student,BH-5,1st Floor Wing-A,Water Cooler (Voltas Minimagic),Water cooler is throwing warm water since yesterday and compressor making humming sound,Thermal overload protector (OLP) tripped due to faulty start capacitor and choked condenser coils,"Replaced 60uF start capacitor, cleaned condenser coils with pressurized water, and reset OLP",2.5,1650,60uF Start Capacitor,High,Resolved
LPU-MAINT-2022-0019,2022-04-20,Faculty,Uni-Hospital,OPD-Room-104,Split AC (Daikin 1.5T),"Doctor consultation room AC not cooling, doctor and patients complaining in afternoon heat",Refrigerant R32 lost through pinhole leak in indoor evaporator copper bend; 40 PSI suction,"Brazed copper leak with silver alloy, pressure tested with dry nitrogen, vacuumed and refilled 700g R32",4.0,3800,Silver Brazing Rod & R32 Refrigerant,High,Resolved
LPU-MAINT-2022-0020,2022-04-22,Student,BH-5,C-312,Split AC (Voltas 1.5T),AC is not cooling properly and making buzzing sound every few minutes,"Dual run capacitor weak (reading 18uF instead of 45uF), outdoor fan running slow","Replaced 45uF run capacitor, washed condenser coil, verified 3.8A compressor load",2.0,1750,45uF Run Capacitor,High,Resolved
LPU-MAINT-2022-0021,2022-04-24,Student,BH-3,Mess Ground Floor,Water Cooler (Voltas Minimagic),Cooler water is warm and compressor making loud rattling noise,"Condenser fan motor mounting bracket loose, causing fan blades to hit protective shroud","Realiged fan motor brackets, tightened vibration fasteners, cleaned condenser coil",1.5,750,Fastener & Damper Kit,Medium,Resolved
LPU-MAINT-2022-0022,2022-04-26,Student,GH-2,Mess-1,Water Cooler (Voltas Minimagic),"Drinking water is warm during lunch time, cooler making clicking sound",Compressor thermal overload cut-out tripping due to dirty condenser coils,Cleaned condenser fins with high-pressure air and verified compressor current draw,1.5,950,None,High,Resolved
LPU-MAINT-2022-0023,2022-04-28,Student,BH-2,A-108,Split AC (Voltas 1.5T),"AC indoor unit is making continuous screeching and vibrating sound, impossible to sleep",Indoor cross-flow blower fan rubber sleeve bearing dried out and cracked,Replaced cross-flow fan rubber bushing mount and lubricated drive shaft spindle,2.0,1150,Blower Fan Bushing Mount,Medium,Resolved
LPU-MAINT-2022-0024,2022-04-28,Student,GH-4,Mess Ground Floor,Water Cooler (Voltas Minimagic),"Water cooler dispensing warm water in peak afternoon, students complaining","Condenser fan motor capacitor weakened, causing fan to spin at half speed",Replaced 2.5uF fan motor capacitor and cleaned exterior condenser mesh,1.5,1100,2.5uF Fan Capacitor,High,Resolved
LPU-MAINT-2022-0025,2022-05-06,Student,BH-3,A-105,Split AC (Voltas 1.5T),AC indoor unit blowing foul smell and cooling is very weak,Evaporator cooling coil choked with dark mold and dust; air throughput down 60%,"Deep chemical foam wash of evaporator coil, sanitized drain tray, washed filters",2.0,1100,Foam Cleaning Chemical,Medium,Resolved
LPU-MAINT-2022-0026,2022-05-10,Student,BH-5,B-204,Split AC (Voltas 1.5T),"AC blowing room temperature air since yesterday night, outdoor unit fan running but no cooling",Failed 45uF hermetic dual run capacitor preventing compressor startup,"Replaced 45uF run capacitor, washed outdoor unit condenser coil, verified compressor load",2.0,1850,45uF Dual Run Capacitor,High,Resolved
